Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A,BWH,BWD,BWA,GBH,GBD,GBA,IWH,IWD,IWA,LBH,LBD,LBA,SBH,SBD,SBA,WHH,WHD,WHA,SJH,SJD,SJA,VCH,VCD,VCA,Bb1X2,BbMxH,BbAvH,BbMxD,BbAvD,BbMxA,BbAvA,BbOU,BbMx>2.5,BbAv>2.5,BbMx<2.5,BbAv<2.5,BbAH,BbAHh,BbMxAHH,BbAvAHH,BbMxAHA,BbAvAHA,BSH,BSD,BSA,PSH,PSD,PSA,PSCH,PSCD,PSCA,Time,MaxH,MaxD,MaxA,AvgH,AvgD,AvgA,B365>2.5,B365<2.5,P>2.5,P<2.5,Max>2.5,Max<2.5,Avg>2.5,Avg<2.5,AHh,B365AHH,B365AHA,PAHH,PAHA,MaxAHH,MaxAHA,AvgAHH,AvgAHA,B365CH,B365CD,B365CA,BWCH,BWCD,BWCA,IWCH,IWCD,IWCA,WHCH,WHCD,WHCA,VCCH,VCCD,VCCA,MaxCH,MaxCD,MaxCA,AvgCH,AvgCD,AvgCA,B365C>2.5,B365C<2.5,PC>2.5,PC<2.5,MaxC>2.5,MaxC<2.5,AvgC>2.5,AvgC<2.5,AHCh,B365CAHH,B365CAHA,PCAHH,PCAHA,MaxCAHH,MaxCAHA,AvgCAHH,AvgCAHA,Season
E0,2023-08-11,Burnley,Man City,0.0,3.0,A,0.0,2.0,A,6.0,17.0,1.0,8.0,11.0,8.0,6.0,5.0,0.0,0.0,1.0,0.0,8.0,5.5,1.33,8.75,5.25,1.34,,,,8.0,5.5,1.35,,,,,,,8.0,5.0,1.25,,,,9.5,5.25,1.33,,,,,,,,,,,,,,,,,,,,,,8.58,5.51,1.37,9.62,5.81,1.33,20:00,9.5,5.68,1.39,9.02,5.35,1.35,1.67,2.2,1.68,2.29,1.71,2.4,1.65,2.27,1.5,1.86,2.07,1.86,2.07,1.93,2.09,1.85,2.03,9.0,5.25,1.33,8.75,5.25,1.33,8.5,5.25,1.35,7.5,4.6,1.29,10.5,5.25,1.3,10.5,5.81,1.36,9.27,5.45,1.33,1.67,2.2,1.65,2.35,1.73,2.45,1.64,2.28,1.5,1.95,1.98,1.95,1.97,,,1.92,1.95,2023-24
SP1,2023-08-11,Almeria,Vallecano,0.0,2.0,A,0.0,2.0,A,19.0,10.0,5.0,4.0,16.0,25.0,8.0,3.0,1.0,3.0,0.0,0.0,2.45,3.3,2.9,2.5,3.2,2.87,,,,2.55,3.25,2.85,,,,,,,2.4,3.0,2.7,,,,2.55,3.25,2.88,,,,,,,,,,,,,,,,,,,,,,2.62,3.3,2.96,2.66,3.25,2.96,18:30,2.63,3.44,3.04,2.54,3.26,2.92,2.1,1.73,2.19,1.75,2.23,1.77,2.15,1.72,0.0,1.84,2.09,1.85,2.09,1.85,2.09,1.82,2.06,2.63,3.2,2.75,2.6,3.1,2.8,2.6,3.15,2.85,2.4,3.0,2.7,2.63,3.2,2.8,2.8,3.28,3.03,2.64,3.16,2.85,2.2,1.67,2.32,1.67,2.37,1.71,2.27,1.64,0.0,1.85,2.08,1.86,2.07,1.91,2.09,1.86,2.01,2023-24
SP1,2023-08-11,Sevilla,Valencia,1.0,2.0,A,0.0,0.0,D,9.0,10.0,3.0,3.0,15.0,17.0,8.0,1.0,3.0,2.0,1.0,0.0,1.91,3.5,4.2,1.93,3.3,4.2,,,,1.9,3.4,4.3,,,,,,,1.8,3.1,4.0,,,,1.91,3.4,4.33,,,,,,,,,,,,,,,,,,,,,,1.95,3.47,4.48,1.94,3.46,4.58,21:00,1.98,3.54,4.5,1.93,3.4,4.33,2.2,1.67,2.35,1.66,2.36,1.7,2.29,1.64,-0.5,1.95,1.98,1.95,1.97,1.96,1.99,1.93,1.93,1.91,3.4,4.33,1.93,3.25,4.33,1.9,3.4,4.3,1.85,3.1,3.8,1.91,3.3,4.5,1.96,3.5,4.74,1.93,3.36,4.4,2.3,1.62,2.36,1.65,2.45,1.69,2.34,1.61,-0.5,1.94,1.99,1.94,1.98,1.96,2.0,1.93,1.94,2023-24
E0,2023-08-12,Brighton,Luton,4.0,1.0,H,1.0,0.0,H,27.0,9.0,12.0,3.0,11.0,12.0,6.0,7.0,2.0,2.0,0.0,0.0,1.33,5.5,9.0,1.32,5.5,9.0,,,,1.35,5.25,8.5,,,,,,,1.25,4.6,8.5,,,,1.29,5.25,10.0,,,,,,,,,,,,,,,,,,,,,,1.33,5.65,9.61,1.27,6.36,11.36,15:00,1.36,6.0,10.5,1.33,5.52,9.61,1.62,2.3,1.62,2.4,1.65,2.45,1.61,2.34,-1.5,1.95,1.95,1.95,1.95,1.98,2.0,1.93,1.93,1.25,6.5,11.0,1.26,6.0,11.0,1.3,5.5,9.5,1.22,5.5,9.0,1.25,5.75,13.0,1.34,6.59,13.0,1.28,5.99,10.91,1.53,2.5,1.56,2.54,1.62,2.66,1.55,2.48,-1.75,2.01,1.92,2.0,1.91,2.14,1.93,2.0,1.86,2023-24
E0,2023-08-12,Everton,Fulham,0.0,1.0,A,0.0,0.0,D,19.0,9.0,9.0,2.0,12.0,6.0,10.0,4.0,0.0,2.0,0.0,0.0,2.2,3.4,3.3,2.2,3.4,3.25,,,,2.25,3.4,3.25,,,,,,,2.1,3.2,3.0,,,,2.2,3.3,3.25,,,,,,,,,,,,,,,,,,,,,,2.27,3.45,3.35,2.39,3.32,3.3,15:00,2.3,3.57,3.45,2.24,3.43,3.3,2.01,1.89,2.0,1.89,2.04,1.92,1.97,1.86,-0.25,1.93,1.97,1.95,1.95,1.97,2.0,1.92,1.93,2.3,3.2,3.2,2.35,3.2,3.1,2.35,3.25,3.15,2.1,3.2,3.0,2.38,3.2,3.2,2.42,3.42,3.56,2.32,3.28,3.27,2.1,1.73,2.23,1.72,2.26,1.81,2.17,1.71,-0.25,2.06,1.87,2.04,1.88,2.08,1.99,1.98,1.88,2023-24
E0,2023-08-12,Sheffield United,Crystal Palace,0.0,1.0,A,0.0,0.0,D,8.0,24.0,1.0,8.0,18.0,11.0,5.0,5.0,3.0,0.0,0.0,0.0,3.0,3.3,2.38,3.0,3.25,2.4,,,,3.0,3.25,2.4,,,,,,,2.75,3.1,2.3,,,,3.1,3.1,2.38,,,,,,,,,,,,,,,,,,,,,,3.28,3.22,2.43,3.98,3.22,2.17,15:00,3.31,3.42,2.48,3.12,3.24,2.41,2.2,1.67,2.26,1.69,2.28,1.74,2.21,1.68,0.25,1.84,2.06,1.85,2.06,1.86,2.11,1.81,2.05,3.6,3.2,2.15,3.75,3.1,2.15,3.7,3.15,2.15,3.5,2.88,2.05,3.9,3.1,2.1,4.0,3.28,2.23,3.81,3.16,2.16,2.5,1.53,2.59,1.56,2.65,1.57,2.54,1.53,0.25,2.1,1.83,2.1,1.84,2.12,1.86,2.05,1.83,2023-24
E0,2023-08-12,Newcastle,Aston Villa,5.0,1.0,H,2.0,1.0,H,17.0,16.0,13.0,6.0,12.0,17.0,6.0,5.0,4.0,4.0,0.0,0.0,1.75,3.75,4.6,1.73,3.9,4.4,,,,1.75,3.85,4.5,,,,,,,1.67,3.5,4.2,,,,1.73,3.7,4.6,,,,,,,,,,,,,,,,,,,,,,1.77,3.92,4.77,1.68,4.2,5.29,17:30,1.8,4.1,4.9,1.76,3.88,4.61,1.73,2.1,1.79,2.11,1.82,2.15,1.76,2.09,-0.75,2.01,1.89,1.99,1.92,2.02,1.94,1.97,1.89,1.62,4.0,5.25,1.65,4.0,5.0,1.63,4.1,5.25,1.55,3.8,4.6,1.6,4.1,5.5,1.71,4.3,5.64,1.65,4.14,5.17,1.67,2.2,1.72,2.23,1.73,2.34,1.68,2.22,-0.75,1.84,2.09,1.85,2.09,1.87,2.13,1.82,2.06,2023-24
SP1,2023-08-12,Sociedad,Girona,1.0,1.0,D,1.0,0.0,H,15.0,6.0,2.0,1.0,22.0,9.0,4.0,1.0,2.0,5.0,0.0,0.0,1.62,4.0,5.25,1.6,3.9,5.75,,,,1.63,3.95,5.5,,,,,,,1.5,3.6,5.5,,,,1.62,4.0,5.5,,,,,,,,,,,,,,,,,,,,,,1.65,4.05,5.66,1.85,3.6,4.91,16:00,1.68,4.14,6.0,1.63,3.97,5.58,1.95,1.95,1.94,1.94,1.98,1.97,1.9,1.92,-1.0,2.05,1.75,2.13,1.79,2.14,1.83,2.09,1.78,1.8,3.6,4.33,1.82,3.5,4.5,1.83,3.55,4.6,1.75,3.2,4.2,1.8,3.6,4.6,1.88,3.8,5.3,1.81,3.56,4.76,2.1,1.73,2.2,1.74,2.21,1.81,2.15,1.72,-0.75,2.05,1.75,2.1,1.82,2.14,1.9,2.04,1.82,2023-24
SP1,2023-08-12,Ath Bilbao,Real Madrid,0.0,2.0,A,0.0,2.0,A,7.0,14.0,1.0,8.0,18.0,6.0,7.0,5.0,3.0,1.0,0.0,0.0,3.3,3.5,2.15,3.4,3.5,2.05,,,,3.3,3.5,2.15,,,,,,,3.2,3.2,2.0,,,,3.3,3.5,2.15,,,,,,,,,,,,,,,,,,,,,,3.43,3.58,2.19,3.44,3.5,2.24,20:30,3.6,3.65,2.22,3.4,3.52,2.15,1.87,2.03,1.87,2.03,1.93,2.06,1.85,1.99,0.25,2.02,1.88,2.02,1.89,2.03,1.9,1.99,1.85,3.25,3.4,2.2,3.2,3.4,2.2,3.25,3.45,2.2,2.88,3.1,2.2,3.3,3.4,2.2,3.7,3.64,2.29,3.31,3.43,2.23,1.97,1.93,1.95,1.95,2.04,2.03,1.94,1.89,0.25,1.99,1.94,1.99,1.93,2.1,1.96,1.95,1.9,2023-24
SP1,2023-08-12,Las Palmas,Mallorca,1.0,1.0,D,1.0,0.0,H,5.0,12.0,2.0,2.0,11.0,21.0,3.0,6.0,3.0,2.0,0.0,0.0,2.4,3.0,3.3,2.4,3.0,3.2,,,,2.45,3.0,3.2,,,,,,,2.3,2.8,3.0,,,,2.45,3.0,3.25,,,,,,,,,,,,,,,,,,,,,,2.45,3.02,3.46,2.64,2.93,3.32,18:30,2.5,3.15,3.47,2.44,3.0,3.31,2.75,1.44,2.77,1.49,2.77,1.51,2.7,1.47,-0.25,2.06,1.84,2.06,1.85,2.11,1.89,2.04,1.82,2.55,2.9,3.1,2.45,2.87,3.3,2.55,2.9,3.2,2.45,2.62,3.0,2.55,2.88,3.2,2.76,2.98,3.4,2.58,2.88,3.22,3.2,1.36,3.14,1.41,3.2,1.44,2.99,1.4,-0.25,2.18,1.77,2.2,1.77,2.21,1.79,2.15,1.75,2023-24
